ID_BATI;LIBELLE_BATI;NUMERO_ADRESSE;ADRESSE;COMPLEMENT_ADRESSE;CODE_POSTAL;COMMUNE;CODE_INSEE;COORD_X_L93;COORD_Y_L93
32;ASSAT - Permanence SDSEI (Saint-Exupéry);10;allée St Exupéry; ;64320;ASSAT;64067;432534.69;6243665.31
33;BASTANES - Dépôt (Eglise);3;place de l'Eglise; ;64190;BASTANÈS;64099;394117.6;6257177.09
34;BAYONNE - Archives (Duvergier de Hauranne);39;avenue Duvergier de Hauranne; ;64100;BAYONNE;64102;338764.25;6275507.03
35;BAYONNE - Centre de dépistage Hôpital (Loeb);13;avenue de l'Interne Jacques Loeb; ;64000;BAYONNE;64102;337534.5;6275039.47
36;BAYONNE - Collège Albert Camus (Sainte-Croix); ;Avenue de Sainte Croix; ;64100;BAYONNE;64102;339922.51;6276853.06
37;BAYONNE - Collège Jean-Jacques Rousseau (Mounédé);12bis;avenue de Mounédé; ;64100;BAYONNE;64102;339419.58;6276746.31
38;BAYONNE - Collège Marracq (Montagnards); ;Rue des Montagnards; ;64100;BAYONNE;64102;337325.18;6274646.62
39;BAYONNE - Conseil des Prudhommes (Ville en bois);10;rue de la Ville en bois; ;64100;BAYONNE;64102;337198.45;6276111.92
128;LAHONCE - Antenne UTD (RD 261); ;CD 261  au Port;Route de l'Adour;64990;LAHONCE;64304;345819.85;6275594.11
40;BAYONNE - Délégation (Platanes);4;allée des Platanes; ;64100;BAYONNE;64102;338268.07;6275652.14
43;BAYONNE - Sous-préfecture (Allées Marines);2;allées Marines; ;64100;BAYONNE;64102;337771.7;6276551.58
44;BEDOUS - Collège d'Aspe (Espagne); ;Route d'Espagne; ;64490;BEDOUS;64104;406037.2;6217193.25
45;BEDOUS - Dépôt (Gare); ;Avenue de la Gare; ;64490;BEDOUS;64104;406025.82;6217433.54
46;BEDOUS - Permanence SDSEI (CMS Fenart); ;Château Fénart; ;64490;BEDOUS;64104;406083.57;6217911.28
